post_content,model_usefulness,моя оценка със санкция,разлика,категоризиране
"""Здравейте, моите момчета ( близнаци) на 3 г Рисуват на дъски -""таблетчета"" от Лидл. Не им давам моливи, химикали, защото ги гледам сама и няма как да ги опазя. Имат голям интерес да им рисувам аз. Те също ""рисуват"" т.е целенасочено драскат 😁😉. Научиха се да ""рисуват"",кръгчета малки и големи. Не са перфектни. Също да правят успоредни черти и телефотен кабел- пушек. Имат интерес,но трудно координат движенията.""",0.6,0.4,0.20,Надценен
"""В момента чета ""Друговремец"" на Диана Габалдон. В началото съм, но нещо не ме грабва… Не знам защо, ужасно много ми напомня на ""Аз, Вещицата"", даже така си представям главната героиня. Най-много се изумих от цената на книгата - 54лв., твърди корици, луксозно издание. Получих я като подарък за рождения ми ден, но се чудя, ако евентуално ми хареса, как ще си набавя другите части… Това ми се вижда скъпичко, особено за книга с повече части. Дано все пак да ми хареса! Geia , какво си пробвала на Стивън Кинг? С тези хаштагове участваме в новото предизвикателство към Лоялната програма за трупане на точки. #BGMammaЧете""",0.4,0.4,0.00,Ок
"""Според вас температура от никнене на зъби вдига ли се? Става въпрос за порядъка 37.2-37.6 Големият ми син никога не е вдигал докато му излизат, а сега малкия за два месеца вече три пъти вдига за по 2-3 дни. Няма други симптоми, през нощта понякога плаче и спи по - лошо, като падне Т и се успокоява. Дали е от зъби всичко? Толкова да боледува ( на 1г е), при положение, че не се вижда с деца и няма други оплаквания не знам…""",0.6,0.4,0.20,Надценен
"""""Една от най-големите тайни на живота е умението да лекуваш душата си с преживявания и да оставяш душата ти да те лекува от преживяванията."" Оскар Уайлд""",0.2,0.1,0.10,Ок
"""Аз я четох Готикана. На мен ми хареса, дадох й 4 звезди. Но Зората на оникса и Северния вятър ми харесаха повече.""",0.3,0.4,-0.10,Ок
"""Ох, Бакман и на мен ми е голям любимец! Не съм прочела всичко обаче. Взех си новата му книга и ще я чета това лято. "" Баба праща поздрави ""ме чака чинно, но засега не усещам да й е времето. Днес довърших "" Пациентът "" на Фитцек и ми хареса много. Дали защото не тръгнах с големи очаквания, не знам. Бях премислила всички възможности и накрая пак не познах 😄 Чудя се какво да започна. Може би пак ще е някой азиатски автор.""",0.6,0.5,0.10,Ок
""" Да, реално е така, има време все пак да научи всичко необходимо. Опитвам се на най-елементарните неща да го науча, поне да яде сам и да използва гърне, именно поради факта, че имам и друго малко дете, подир което тепърва почва тичането, а съм самотен родител, не мога да си позволя помощница и ще е добре да се въведе самостоятелност от части, с цел улеснение. Грижите са наистина много за сам родител и е доста тежък периода. Но той сякаш вместо са напредне, регресира. Ядеше храни, нарязани на парченца, вземайки си с ръка, сега само си играе и побутва парченцата и яде само като му се дава в устата, а да не говорим за храна с лъжичка или вилица - абсурд да си вземе, даже почва да реве като го карам. Ака и пишка в гащите без да даде никакъв израз на нещата, буквално имам две бебета, разликата е само в пола и че по-голямото тича, иначе в навици - нула.""",0.6,0.2,0.40,Много надценен
"""Това са, които са дадени. Някои вече може и да не работят. Няма нищо вечно материално. В библиотеките и линковете има много исторически книги. Потърсете, океан е.""",0.3,0.3,0.00,Ок
"""И аз ще чакам с интерес новото заглавие на НТ. На Бойка Велкова като режисьор съм гледала представления в Сатирата. ""Буржоата благородник"" е скучно и едва издържах до края. ""Постоянната съпруга"" (пак по С. Моъм) беше много добро, но с предишната актриса в главната роля. С новата не съм го гледала и не мога да кажа нищо. И ""Империя на красотата"" - много добро също. Там тя е и в едната главна роля, а й партнира и Силвия Лулчева, все пак! Изключителен тандем!""",0.7,0.5,0.20,Надценен
"""Защо трябва да се сваля температурата? Поне аз си мисля, че до 3 дена е ок да вдига температура. Реално веднъж ми се е случвало пет дни температура, трудно се сваляше, но пак не бе през цялото време. Дневно време ако не е много отпуснато детето, не свалям дори и на 39 градуса. Редувам панадол и нурофен като гледам нурофенът да се падне около полунощ/нощ 😀 Разбира се, деца всякакви. Аз имам тотално различен въпрос. Родителите, които избягват екранно време, на каква възраст започнаха да го въвеждат?""",0.7,0.5,0.20,Надценен
"""На мен ""Забравените в неделя"" много ми хареса, а във ""Вода за цветята"" криминалната нишка и страничните сюжети ми бяха по-интересни от основната тема, затова и обещанието за криминална загадка от анотацията на новата книга, ме грабна и очаквах заплетен пъзел, който да те кара да четеш до среднощ, но - уви, много слабо изпълнение.""",0.6,0.5,0.10,Ок
""" В рулит видях, че са три части и се чудех защо. ""Душата на императора"" там е трета част.""",0.3,0.2,0.10,Ок
"""12 декември !++|IMAGE|++! Пребит почти до смърт от своите врагове, виконт Саймън Идсли е твърдо решен да им отмъсти. Но под нежните грижи на своята спасителка той долавя у себе си непознат копнеж, копнеж толкова силен и ненаситен, че заплашва да погълне и двама им. Очарована от изисканите му маниери, остроумието и елегантните му дрехи, Луси се влюбва в него бързо и пламенно. Докато той се опитва да спаси честта и, жаждата му за мъст я поставя в смъртна опасност и сега и двамата трябва да се борят – той за справедливост, а тя – за сърцето му.""",0.2,0.1,0.10,Ок
"""А как могат да се прехвърлят обратно? Останаха ми 2500 и искам, но не виждам как, а пише: Можете да ги прехвърлите обратно във вашия акаунт в БГ МАММА по всяко време. """,0.3,0.4,-0.10,Ок
"""Аз лично дори и бащата не съм питала да го пускам ли на ясла или не. Ако не го бяха приели, да, щях да си го гледам още 1г, но предпочитам да си ходи на ясла. Бащата го устройват и двата варианта, така че не се е месил изобщо. Пък на баби, лели и стринки съвсем няма да се обяснявам. Не дължите на никого обяснения.""",0.6,0.3,0.30,Надценен
"""Пишат, пишат и освен ChatGPT използват и някакво приложение Gemini съучениците, дя смятат с него. Но по темата с музиката- и у нас се загатна за Blackpink. Не ги бях чувала до скоро, но и за тях ме открехна 11 годишната девойка. Чудно, но освен горепосочените, разните A p.t и други актуални парчета, тя харесва и The Weekend, Justin Timberlake. Голям миш- маш е между това, което слушаме у дома и влиянието от дружките.""",0.4,0.3,0.10,Ок
"""Тъмната кула си я взех за Коледа (фук, фук), цялата поредица, обаче смятам, че първо трябва да прочете повечко от другите книги, понеже много неща се преплитат там и няма да усети връзката… Ще я оставя за по-натам да я чете той. Сега ще му дам Джойленд. Благодаря на всички за предложенията.""",0.4,0.2,0.20,Надценен
""" За мен е излишна и не привнася нищо към сюжета. Но аз съм фен на епик фентъзито. С Фийст съм закърмена в този жанр. Бюджолд не виждам защо я намесваме в разговор за Четвъртото крило. За протокола: и Бюджолд не я харесвам, въпреки че пише далеч по-добре. Четох я преди години и с нея също няма да повторя. Даже бях забравила за съществуването ѝ. Фабулата на Ярос за мен е права линия като тази на сърдечен монитор, закачен за мъртвец. За да пише в първо лице, трябва майсторство, което на нея ѝ е дефицитно. Докато четях книгата през цялото време имах усещането, че авторката безгласно крещи “Заснемете я, заснемете я”. Книгата е написана, така че възможно най-лесно да се адаптира в сценарий, а не да претендира за някаква литературна стойност. Поне първата част, останалите не представляват интерес за мен. За радост на феновете, четох някъде, че Амазон (май те бяха) са купили правата за екранизация. Дано да я и осъществят.""",0.6,0.6,0.00,Ок
"""Предлагам ""Ноември"" на Алена Морнщайнова да четем. Но може би няма да я има електронно.""",0.3,0.1,0.20,Надценен
"""Гласувах за ""Забравената градина"". И тя, и ""Крадецът на книги"" са ми в списъка отдавна. Имам ги на хартия, отлежават и чакат време 🙂 А така с клуба ще ги придвижа напред. ""Манюня"" съм я чела. ""Живи"" като че ли не ми е толкова любопитно да я чета.""",0.4,0.1,0.30,Надценен
"""Inferiya, има ли време да предложа още една книга? Май все още няма анкета заради проблемите с намирането на книгите. Нина де Грамон - Аферата ""Кристи"".""",0.3,0.2,0.10,Ок
"""Липсва ми само книгата за Дания 😉 Иначе тази поредица книги за северните страни е много добра 😉 В момента чета финландската (че след 2 седмици ще я посетя отново), най-добра от тези книги е норвежката !++|IMAGE|++!""",0.3,0.4,-0.10,Ок
"""Еее, и вкъщи да говорят на немски няма нужда. Точно домът е мястото, където се научава майчиният език. И без това скоро той ще му стане по-слабият език, нека все пак го овладее до някаква степен. Немския ще го научи толкова бързо и лесно, като тръгне по-активно на градина, след това на училище… Ако немска двойка дойде да живее в България, дали у тях ще си говорят на български?""",0.6,0.4,0.20,Надценен
""" На мене пък това изказване ми звучи като заяждане. За да знаеш, че някой е обиден, трябва да ти го сподели. Ако ти му припишеш обида, е възможно да си го измисляш. За да не се чудиш, аз не съм от обидените. За опашките споделих. Редила съм се, за да вляза в стадиона на огромни опашки, но бързо минават. За билетите от билетен център, Офис 1 и т.н. - често се е случвало да отида и пред мен да има по-малко от трима. Или един приятел отива и купува 6 билета. Най-трудно ми е да купя физически билети за опера, защото бързо свършват, но това не е по темата и изместваш фокуса от ""нима не сте спали на площада заради безплатен концерт!"" Ами, не, не сме!""",0.4,0.1,0.30,Надценен
""" Глория - Приятелко, ти моя най-добра (1995) текст и музика: Глория аранжимент: Максим Горанов и Евгени Манев [video] https://www.youtube.com/watch?v=cqVnDqDt6xo [/video]""",0.1,0.1,0.00,Ок
"""Чела съм 3 книги на Дикер, започвайки с Хари Куебърт. Оказа се в низходящ ред на харесване. ""Случаят в стая 622"" беше последната и тя ме отказа да чета повече негови произведения. Но щом толкова хвалите ""Изчезването…"" ще я потърся.""",0.4,0.4,0.00,Ок
"""Значи и моята трябва да дойде скоро. Аз имам една книга с дата на издаване 03.06. Моята поръчка също е от 25.05.""",0.3,0.1,0.20,Надценен
"""Винаги имам по много книги в четците и това според мен не се отразява на заряда на батерията.""",0.3,0.3,0.00,Ок
"""Здравейте, Запазих билети В ТБА за януари през техния сайт. Ще ги платя в изи пей. Искам да попитам след плащането пращат ли ти билети или си действаш с резервацията?""",0.3,0.2,0.10,Ок
"""И моето приучаване на сина към гърне си продължава с предизвикателствата. Научи се да казва ""ако"" и ""ака"". Примерно каже някоя от тези думички ей така от нищото, водя го в тоалетната или на детското гърне и няма нищо. Или просто мине покрай гърнето или тоалетната и казва ""ака"", защото се сеща какво му е обяснявано за тези места, но без да има реална нужда в момента, в който го казва. И така около месец. Днес повтаряше ""ака"", аз обаче не повярвах, че има нещо, а и бях заета да кърмя малката и си помислих, сигурно пак лъже, но наистина беше акал в памперса си. И чуденето ми в случая е как да го науча да казва това, само когато реално има нужда? С пишкането няма никакво развитие, ""пиш"" или нещо подобно не може да каже, постоянно търси течности да се налива и всеки ден по няколко пъти сменям опишкани дрехи. 🤔 На 2,6 е, но всичко, свързано с усвояване на навици на самостоятелност е доста трудно при него.""",0.7,0.3,0.40,Много надценен
"""Ако въпросът е за офертата на Бард, видях я вчера на фейсбук страницата им, но тогава пишеше, че остават само 10 бройки от тези кутии. П.п. Сега погледнах и не я виждам и аз, може да са я изтрили, ако са изчерпали предвидените количества.""",0.3,0.1,0.20,Надценен
"""Моето скубеше, без разбира се, да е било скубано. Отмина тази фаза. Но още има мания към коси. Особено обича да пипа моята преди да заспи, защото била мекичка. Аз като дете съм блъскала други деца. Не знам, явно си има някаква изначална агресия в децата, която трябва да се обуздае. Не знам какъв съвет да дам. Говорене, показване как трябва, ако не чуе, отделяне от детето или човека, на когото го прави. След амнайстия опит ще разбере, че това е неприемливо.""",0.6,0.4,0.20,Надценен
""" За мен е важно героите да са реалистични, а не инстаграмизирани образи, от които ми се драйфа - млади, красиви, с тела все едно са снимани от най-добрия ракурс, все едно имат забити бастуни в з*ниците, богати и работят нищо смислено освен да натрапват комплекси на млади и неоформени умове. Вчера влязох в книжарницата, за да си купя книга, прерових отдела с любовните романи, 20 от 30 книги бяха на тема той богат (милионер, милиардер), с една купчина психологични проблеми, тя е бедна и обикновена женица, но за сметка на това влиза под кожата на този увредения богаташ и след около 330 страници драма поемат щастливо към залеза. Айде холан .. не може ли да четем за нещо друго? Какво лошо има главната героиня да бъде 35+, да има 4 излишни килограма, а главния герой да от средната класа и да не обяснява на останалите как парите не са важни, когато той си има повече от достатъчно? Убедена съм, че и тези хора се влюбват успешно, могат да бъдат романтични и правят секс, нищо, че не са стъпвали на Малдивите. Успех с романа! Ще се радвам да го прочета, когато е готов 🙂""",0.7,0.1,0.60,Много надценен
"""Някой гледал ли е ""Всички страхотни неща"" с Бойко в Топлоцентрала? Аз съм го гледала някога в Theatro отсам канала и имаше избор при купуване на билетите - не само за място, а и за сцената. А за Топлоцентрала няма, или пък са свършили тези за сцената, а другите да не са правостоящи и затова без места? Искам да взема за сина ми и приятелката му (15 г., 9.клас), гледаха ""Дишай"" и много им хареса, разбира се. Той е ходил на доста постановки (някои каза, че би повторил с нея, напр. ""12-те гневни""), но гаджето сега прохожда и им избирам.. Ще се радвам и на други препоръки, знам, че сме коментирали и преди, но този път като за тийн влюбени. 🙂""",0.7,0.3,0.40,Много надценен
"""И аз се присъединявам в редиците на изтощените майки с едно диване на две години и половина. Няма миг спокойствие и при нас, не спи на обяд, не мърда абсолютно никъде без мен, в банята да влезна чука по вратата и реве. Навън само с мен, вчера се опитах само с баща му и баба му да го изпратя и беше такава истерия, че целият блок разбра. Аз не съм намерила решение, по същия начин нямам никакви социални контакти, гледам само някакви положителни клипчета в Ютюб, които добре ми действат, на здравна тематика, за положително мислене. Готвене само сутрин докато спи малкото, добре, че мъжът ми помага с всичко. Къпане срам не срам веднъж в седмицата на косата, ходя със шапки зимата. Мисля , че е период и си казвам , че ще мине, гледам на детето да му е добре, аз живях много дълго време сама, дълго време в чужбина, спомням си колко самотно някой път ми беше там, как имах цялото време на света и пак не бях особено щастлива, колко пътувах и затова сега не ми липсва. Просто някакси се наживях на макс преди детето и сега приемам малко по-спокойно нещата, не че не съм медуза вечер на дивана и не мога да помръдна. На фризьор ходя веднъж годишно, слагам къна вкъщи, режа нокти до кожа , маски слагам на лицето, олио в косата, освободих се от всички вещи излишни, имам 2 чифта обувки -едни зимни и едни летни, просто прегърнах минимализма на макс. Баби имаме, за съжаление никой н иска да гледа детето, не можели , той бил глезен, неуправляем и т.н. Аз с и мисля, че той е малък сега, сега има нужда от мен, след 10 години сигурно ще ме гони от вкъщи, затова сега съм до него, не съм адекватна и аз понякога, мразя да излизам навън по площадки например, но заради него, когато поиска стоя и колкото иска стоя. Мечтая за вила на село с огромна ограда и къща, заключвам и го пускам в двора да дивее, колкото иска … Извинявам се за дългия пост…""",0.7,0.4,0.30,Надценен
""" Детето всъщност изобщо не поглежда телевизора, а в ютуб му ограничих драстично времето, защото напоследък доста дълго започна да гледа анимации. Наблягаме на игрите навън в паркове, детски площадки, но и там все намира за какво да се изнервя, тръшка и като се заинати започва да си огъва краката и дори отказва да върви. Пази Боже да сме далеч от къщи. 🤦🏼",0.6,0.4,0.20,Надценен
"""Моята поръчка от ICU, която направих вчера, ще бъде утре в офис на Спиди. Не очаквах да е толкова бързо.""",0.3,0.1,0.20,Надценен
"""Малазан също ми беше в полезрението, но вече щеше да ми бъде вповече още една започната поредица. Засега реших да се огранича до 2-3 😁, с приоритет - Сандерсън. За Хойд с описанието от ИИ имам вече някаква обобщена представа, надявам се само да не е погрешна.""",0.3,0.1,0.20,Надценен
"""Добре, че сте се разговорили за лоялната програма тук, че иначе въобще нямаше да забележа банера. Имам и аз коледен подарък от bg-mamma в профила си, който вече обмених за ваучери за Озон - супер приятна изненада. За разнообразие мисля да купя нещо за мен, а не да отидат по обичайното направление - за книжки за децата.""",0.6,0.4,0.20,Надценен
"""Да, и не стига това, ами и при поръчка над 79 лв освен БД, подаряват “Господин Изразителен”. Тази книга ми стои в “любимите” на Озон…""",0.3,0.2,0.10,Ок
"""Коларгола винаги са ни го изписвали по 1-2 капки в ноздра, независимо от възрастта на детето.""",0.4,0.5,-0.10,Ок
""" От кой сайт взехте за билети за Роби Уилямс? Ние гледаме за Амстердам, но не съм купувала от Viagogo и чета смесени коментари за надежността на сайта. Но явно ще рискуваме.""",0.3,0.5,-0.20,Подценен
""" Напълно нормално. Не знаш даже ден ли е, нощ ли е. И като дойде време за детските площадки, направо можеш да се хванеш за главата. Надпревара кое кога отказало биберон, памперс, кога проходило, проговорило, започнало да пише, да смята, да чете Достоевски в оригинал още от първа група на ДГ. То още люлката не може да си засили самО с крака, майката отстрани оди реди. Затова, ако може, по-далеч от тълпата на детските площадки и от истериите, че детето изяло една шепа зрънчо от торбата на друго дете, или парче шоколод. Такива работи досега не било вкусвало, а майката люпи семки и пие бира. Та, без втелясване е малко по-леко. Казвам го точно като майка, която се е втелясвала за най-малкото.""",0.6,0.3,0.30,Надценен
"""Ефектът на теломерите PDF https://dox.abv.bg/download?id=a1ddaedb23 """,0.1,0.1,0.00,Ок
"""Препоръчаха ми ""Империята на красотата"" със Силвия Лулчева в Сатирата…""",0.3,0.2,0.10,Ок
"""С големия не помня,че беше много отдавна,но малкия от 6 месеца до 2 и 2 месеца спеше с мен на спалнята точно за да не става рано.Все още спим в една стая,но на различни легла-аз винаги се будя първа,често с аларма,която той изобщо не чува.""",0.4,0.2,0.20,Надценен
"""Здравейте ! Намерих в един сайт 5 и 6 книга от Royal elite на Рина Кент - превод на бг , но ми се губи третата и четвърта част - тя излизала ли е изобщо, аз ли съм я пропуснала ? Май нещо тотално ги обърках 🙂 Препрочетох цялата предна тема и не намерих да е коментирано""",0.3,0.1,0.20,Надценен
"""Профи, напротив имат и при това голяма вина. Сайта им в последно време не става за нищо. Разказвам. За Лондон са обявени два провайдъра Тикетмастър и Лайф нешън, но само тикетмастер е свързан за клиенти на Weverse, където аз си направих заявката за предварителната продажба. Да не говоря, че и двете платформи не пуснаха подробности за начина на пазаруване. Трябваше от Weverse да ми изпратят линк към тикетмастер и точни инструкции, но тях така и не получих. Днес ще пиша гневно писмо и на тях! И така стоя си на опашката, идва моят ред 3 хиляди и някойси, чакам около 1-2 минути и съм вътре отваря ми се схемата и там имаше само свободни места ,но с катинарчета. А сега се! Защо са заключени. Мисля 10 секунди- сигурно са за хора с БТС мембършип. Оказа се вярно. Избирам и тук дайте код за отключване. А, какъв код, аз код не съм получавала?!? Блещя се 10 секунди мислейки как да намеря този код и ми идва ""гениалната идея"" да пробвам с номера на мембършипа. Алилуя това е! Следва избирам местата, които в този момент светят синьо, значи са свободни и следвам стъпите по финализиране, но… Съобщение тези места не са налични?!?!? Е как не са налични като са в синьо. И това се повтаря няколко пъти като трябваше постоянно да рефрешвам страницата докато най - после ми позволи да продължа с избраните от мен места и да ги платя. Но изпуснах доста хубави, поне за мен места 👿 Онзи ден същото се повтори и докато купувах билети за друг концерт и като се замисля и за закупуването на билети за Enhypen пак беше същия проблем. Този проблем с тикетмастър е от известно време и аз всячески го избягвам, но когато само там продават билети, избор нямаш. Такива ядове не съм имала с другите платформи. Вече знаете, че покупката на такива билети не е лесна работа 😂😜😂 И нещо по-хард ,така и така съм още от вчера в това състояние 😊 [video] https://www.youtube.com/watch?v=WA0uEvJbITA [/video] Още един концерт на Baek Hyun/ Ехо/ !++|IMAGE|++! На мен не ми допаднаха, но може би на вас- да https://www.youtube.com/watch?v=Zau7kY03-YU https://www.youtube.com/watch?v=Evr0Nihm6Tc https://www.youtube.com/watch?v=3nMOUzBZ0ZI https://www.youtube.com/watch?v=fWhUmHHmPbA https://www.youtube.com/watch?v=yZVaz1LbC28 https://www.youtube.com/watch?v=TGBhI5JhvQw https://www.youtube.com/watch?v=TLlYFfZKOV4 https://www.youtube.com/watch?v=R2-yomhYAj4 https://www.youtube.com/watch?v=4OioJvTLuxs Боже мой, като са започнали с концертите Ще си помисля за тези, не са лоши !++|IMAGE|++! !++|IMAGE|++!""",0.7,0.6,0.10,Ок
"""Моят син си пиеше сутрешното АМ до 1г и 10 месеца сигурно, много дълго се задържа.""",0.4,0.4,0.00,Ок
""" Напълно нормално. Не знаш даже ден ли е, нощ ли е. И като дойде време за детските площадки, направо можеш да се хванеш за главата. Надпревара кое кога отказало биберон, памперс, кога проходило, проговорило, започнало да пише, да смята, да чете Достоевски в оригинал още от първа група на ДГ. То още люлката не може да си засили самО с крака, майката отстрани оди реди. Затова, ако може, по-далеч от тълпата на детските площадки и от истериите, че детето изяло една шепа зрънчо от торбата на друго дете, или парче шоколод. Такива работи досега не било вкусвало, а майката люпи семки и пие бира. Та, без втелясване е малко по-леко.""",0.4,0.3,0.10,Ок
"""Здравейте, в болничен съм от 24.01 до 06.02 издаден от АГ-то. След това знам, че трябва да се удължи с комисия, но следващия преглед при АГ е на 21.02. В такъв случай как се процедира, трябва да отида пак при него след като изтече, за да ми даде направление за ЛКК или нещо друго се прави?""",0.6,0.3,0.30,Надценен
""" Не се забравя Виж, не се забравя ей така любов, която много ти е дала. Която ти е вземала съня, която за ръка те е държала. Която те е вдигала и над омръзналите вече битовизми. Която е засищала и глад, която ти е давала и риза. Не се преглъща като залък тя - застава ти на гърлото и дращи. Отива си с нечувана цена, която много трудно се заплаща. Не се прежалва и със черен шал - тя мрази някой помен да ù прави. Каквото и преди да си ù дал, не ще си го откупиш. Не продава! Не я очаквай в някой друг живот. Един път се гори във този огън. Не се забравя истинска любов. И двеста пъти да ù кажеш сбогом! © Мартин Спасов Всички права запазени https://otkrovenia.com/bg/stihove/ne-se-zabravya-1 """,0.2,0.1,0.10,Ок
"""Преди малко се върнах от постановката ""Много шум за нищо"" в театъра на Армията. За мен беше доста скучноват комедиен спектакъл, особено първата част. Не знам дали е от хуморът, актьорите или сюжета, но останах разочарована. Явно за мен идеята на режисьора за това как Шекспир трябва да бъде четен в днешно време не ми допада…""",0.6,0.4,0.20,Надценен
"""“Трябва, когато сме влюбени да практикуваме следното – да си тръгнем един от друг. Защото да сме заедно е лесно, няма нужда да го научаваме.” – Райнер Мария Рилке""",0.2,0.1,0.10,Ок
"""У нас са издадени първите три книги и Читанката публикуваха още 3 любителски превода … !++|URL|++!""",0.2,0.2,0.00,Ок
"""А да,може да дъвче. А от кой продукт сте доволни,давала съм имунобор кидс сироп и изопронозин да вдигне имунната система ,но само след боледуване по препоръка на педи""",0.3,0.3,0.00,Ок
"""В тази тема често откривам книги, които съм оценила високо. И тази година не е изключение. Но какво да прави човек - вкусове разни. Мноята основна малинка тази година е ""Хиляда луни"" на Себастиан Бари. Толкова не ми хареса, че трайно ме отказа от тоя автор… Другата книга, която не никак харесах е ""Вулкан"" на Елена Алексиева.""",0.4,0.4,0.00,Ок
"""Много хубава корица, а и фонът отзад! Явно “Къщата на духовете” (изд. 1982г.) й е най-известният роман, визирам надписа долу.""",0.3,0.2,0.10,Ок
"""Ние имаме Крокотак и децата много се забавляват да решават задачите. Но рядко се сещам да им го дам, а те нямат навик да го търсят. Някои задачи обаче са си сложни.""",0.4,0.4,0.00,Ок
"""Благодаря за кода от store bg Взех с него от поредицата - защо, какво, как на фют. 112лв платих от 143лв редовна, спестих 31лв, ако може да се брои за далавера с тези скъпи книги, но 20% от тези няма къде да докарам другаде Харесах крушата от Колибри, ще помисля !++|IMAGE|++! !++|IMAGE|++!""",0.3,0.2,0.10,Ок
"""Дъщеря Ви има страхотна коса! Не може ли всеки месец по мъничко да се постригва колкото самите краища да не се заплитат?""",0.3,0.1,0.20,Надценен
"""Мен не илюстрациите в това издание ме изкушават, с това, че било с нецензурирани в текст. Не знаех, че тази книга е била текстово орязвана - обаче трябва да проуча допълнително дали не беше още при оригинално-публикуваната, а не за преводното издание (някога издавано в съответния политически режим в нашата страна).""",0.3,0.2,0.10,Ок
""" Заповядайте Линк за сваляне Елси Силвър https://mega.nz/folder/23BgmAbL#FZUVtIBJ8sTPKrbpnT8TQA """,0.1,0.1,0.00,Ок
"""Точно цитатите от тази книга ме подтикнаха, когато я получих като подарък, да я даря без да я отварям дори. Препрочитам някои истории (които конкретно ме интересуват) от “Недовършени предания”.""",0.3,0.4,-0.10,Ок
"""Допуснете, че има различни вкусове, естетика, представа за театър. Аз харесвам Теди Москов. Смятам, че не всичко, което прави е на еднакво ниво, но помня, че съм с добри впечатления от тази постановка.""",0.4,0.3,0.10,Ок
